GeneID,GeneName
ENSMZEG00005020201,NA
ENSMZEG00005020208,VAV3
ENSMZEG00005020221,NTNG1
ENSMZEG00005020230,prmt6
ENSMZEG00005020231,NA
ENSMZEG00005020233,rnpc3
ENSMZEG00005020251,col11a1a
ENSMZEG00005020287,olfm3a
ENSMZEG00005020294,NA
ENSMZEG00005020308,pcdh12
ENSMZEG00005020313,gm2a
ENSMZEG00005020317,NA
ENSMZEG00005020323,NA
ENSMZEG00005020327,thoc3
ENSMZEG00005020328,cplx2b
ENSMZEG00005020332,NA
ENSMZEG00005020353,slc25a48
ENSMZEG00005020364,glra1
ENSMZEG00005020372,g3bp1
ENSMZEG00005020389,sez6b
ENSMZEG00005020393,phf12b
ENSMZEG00005020399,dhrs13b.1
ENSMZEG00005020402,dhrs13a.3
ENSMZEG00005020404,NA
ENSMZEG00005020406,NA
ENSMZEG00005020408,lhx1a
ENSMZEG00005020423,aspg
ENSMZEG00005020446,arf6a
ENSMZEG00005020587,vcpkmt
ENSMZEG00005020593,MSH4
ENSMZEG00005020607,ktn1
ENSMZEG00005020624,peli2
ENSMZEG00005020631,tmem260
ENSMZEG00005020638,otx2b
ENSMZEG00005020644,exoc5
ENSMZEG00005020649,ap5m1
ENSMZEG00005020655,SLC35F4
ENSMZEG00005020656,pgfb
ENSMZEG00005020659,cipca
ENSMZEG00005020660,zdhhc22
ENSMZEG00005020665,tmem63c
ENSMZEG00005020670,ngb
ENSMZEG00005020674,NA
ENSMZEG00005020679,coq6
ENSMZEG00005020686,entpd5a
ENSMZEG00005020695,bbof1b
ENSMZEG00005020704,ALDH6A1
ENSMZEG00005020720,gstz1
ENSMZEG00005020733,zgc:163014
ENSMZEG00005020739,tmed8
ENSMZEG00005020743,NA
ENSMZEG00005020754,ATG2B
ENSMZEG00005020767,gskip
ENSMZEG00005020770,npc2.2
ENSMZEG00005020772,isca2
ENSMZEG00005020778,EML5
ENSMZEG00005020788,ttc8
ENSMZEG00005020797,NA
ENSMZEG00005020800,NA
ENSMZEG00005020803,NA
ENSMZEG00005020806,NA
ENSMZEG00005020810,NA
ENSMZEG00005020813,NA
ENSMZEG00005020817,NEK9
ENSMZEG00005020826,NA
ENSMZEG00005020828,MLH3
ENSMZEG00005020833,fosaa
ENSMZEG00005020836,jdp2a
ENSMZEG00005020841,flvcr2a
ENSMZEG00005020846,NA
ENSMZEG00005020851,erg28
ENSMZEG00005020854,NA
ENSMZEG00005020858,NA
ENSMZEG00005020864,tgfb3
ENSMZEG00005020870,IFT43
ENSMZEG00005020876,GPATCH2L
ENSMZEG00005020880,esrrb
ENSMZEG00005020890,prox2
ENSMZEG00005020939,dlst
ENSMZEG00005020941,rps6kl1
ENSMZEG00005020944,NA
ENSMZEG00005020946,olfm4.2
ENSMZEG00005020952,NA
ENSMZEG00005020958,NA
ENSMZEG00005020963,rab21
ENSMZEG00005020968,NA
ENSMZEG00005020980,NA
ENSMZEG00005020982,NA
ENSMZEG00005020984,NA
ENSMZEG00005020985,NA
ENSMZEG00005020988,TRHDE
ENSMZEG00005020995,NA
ENSMZEG00005020996,NA
ENSMZEG00005020997,NA
ENSMZEG00005021027,NA
ENSMZEG00005021059,casq1b
ENSMZEG00005021068,NA
ENSMZEG00005021075,pea15
ENSMZEG00005021077,NA
ENSMZEG00005021081,NA
ENSMZEG00005021086,mrpl48
ENSMZEG00005021091,NA
ENSMZEG00005021093,NA
ENSMZEG00005021095,NA
ENSMZEG00005021098,NA
ENSMZEG00005021099,NA
ENSMZEG00005021101,NA
ENSMZEG00005021103,NA
ENSMZEG00005021105,NA
ENSMZEG00005021108,supt16h
ENSMZEG00005021119,tox4b
ENSMZEG00005021123,SLC12A6
ENSMZEG00005021137,NA
ENSMZEG00005021139,nop10
ENSMZEG00005021142,lpcat4
ENSMZEG00005021145,lpcat4
ENSMZEG00005021149,emc4
ENSMZEG00005021154,NA
ENSMZEG00005021157,NA
ENSMZEG00005021168,NA
ENSMZEG00005021175,khnyn
ENSMZEG00005021179,NA
ENSMZEG00005021184,si:dkeyp-74b6.2
ENSMZEG00005021191,NA
ENSMZEG00005021195,pigr
ENSMZEG00005021198,NA
ENSMZEG00005021202,NA
ENSMZEG00005021205,NA
ENSMZEG00005021210,NA
ENSMZEG00005021217,vbp1
ENSMZEG00005021222,RAB39B
ENSMZEG00005021226,zgc:162171
ENSMZEG00005021228,NA
ENSMZEG00005021231,NA
ENSMZEG00005021235,ankrd34bb
ENSMZEG00005021240,fam151b
ENSMZEG00005021243,zfr
ENSMZEG00005021248,NA
ENSMZEG00005021252,sub1b
ENSMZEG00005021256,npr3
ENSMZEG00005021262,NA
ENSMZEG00005021273,golph3a
ENSMZEG00005021277,NA
ENSMZEG00005021281,isl1a
ENSMZEG00005021283,NA
ENSMZEG00005021287,NA
ENSMZEG00005021292,rad17
ENSMZEG00005021300,zgc:86811
ENSMZEG00005021304,ydjc
ENSMZEG00005021306,NA
ENSMZEG00005021311,pias2
ENSMZEG00005021390,NA
ENSMZEG00005021394,NA
ENSMZEG00005021406,NA
ENSMZEG00005021413,NA
ENSMZEG00005021421,NA
ENSMZEG00005021426,NA
ENSMZEG00005021428,NA
ENSMZEG00005021434,KIF1C
ENSMZEG00005021445,NA
ENSMZEG00005021450,pcdh7a
ENSMZEG00005021454,crmp1
ENSMZEG00005021468,WFS1
ENSMZEG00005021472,ppp2r2ca
ENSMZEG00005021479,NA
ENSMZEG00005021483,hpf1
ENSMZEG00005021490,ANK2
ENSMZEG00005021510,camk2d2
ENSMZEG00005021528,NA
ENSMZEG00005021530,NA
ENSMZEG00005021532,fbxo10
ENSMZEG00005021536,polr1e
ENSMZEG00005021538,ZBTB5
ENSMZEG00005021543,grhprb
ENSMZEG00005021553,uba6
ENSMZEG00005021576,polq
ENSMZEG00005021591,ptpn9b
ENSMZEG00005021599,NA
ENSMZEG00005021603,melk
ENSMZEG00005021608,pax5
ENSMZEG00005021613,zcchc7
ENSMZEG00005021615,pgm2
ENSMZEG00005021619,TBC1D1
ENSMZEG00005021626,klf3
ENSMZEG00005021628,fam114a1
ENSMZEG00005021634,klhl5
ENSMZEG00005021637,NA
ENSMZEG00005021641,rfc5
ENSMZEG00005021652,NA
ENSMZEG00005021696,pebp1
ENSMZEG00005021700,taok3a
ENSMZEG00005021715,suds3
ENSMZEG00005021726,NA
ENSMZEG00005021733,srrm4
ENSMZEG00005021741,hspb8
ENSMZEG00005021752,NA
ENSMZEG00005021761,xbp1
ENSMZEG00005021768,znrf3
ENSMZEG00005021784,coq5
ENSMZEG00005021789,kremen1
ENSMZEG00005021798,NA
ENSMZEG00005021802,SUSD2
ENSMZEG00005021807,si:dkey-174n20.1
ENSMZEG00005021811,NA
ENSMZEG00005021814,NA
ENSMZEG00005021818,NA
ENSMZEG00005021826,CAMK2B
ENSMZEG00005021854,NA
ENSMZEG00005021872,NA
ENSMZEG00005021873,NA
ENSMZEG00005021875,NA
ENSMZEG00005021877,NA
ENSMZEG00005021879,NA
ENSMZEG00005021881,NA
ENSMZEG00005021883,NA
ENSMZEG00005021889,NA
ENSMZEG00005021893,dap
ENSMZEG00005021897,ankrd33ba
ENSMZEG00005021901,ropn1l
ENSMZEG00005021904,nup58
ENSMZEG00005021912,mtmr6
ENSMZEG00005021920,amer2
ENSMZEG00005021924,NA
ENSMZEG00005021931,zfhx4
ENSMZEG00005021938,pex2
ENSMZEG00005021940,hnf4g
ENSMZEG00005021945,pign
ENSMZEG00005021951,GPR141
ENSMZEG00005021953,relch
ENSMZEG00005021956,tnfrsf11a
ENSMZEG00005021959,si:dkey-73n8.3
ENSMZEG00005021964,sec61g
ENSMZEG00005021962,tpk1
ENSMZEG00005021965,stk35
ENSMZEG00005021966,NA
ENSMZEG00005022027,MTCH1
ENSMZEG00005022032,slc2a1a
ENSMZEG00005022039,mthfr
ENSMZEG00005022049,clcn6
ENSMZEG00005022062,nppal
ENSMZEG00005022064,nppb
ENSMZEG00005022067,NA
ENSMZEG00005022069,NA
ENSMZEG00005022074,renbp
ENSMZEG00005022084,NA
ENSMZEG00005022091,NA
ENSMZEG00005022096,dennd2da
ENSMZEG00005022110,stk38a
ENSMZEG00005022117,pex10
ENSMZEG00005022121,plch2a
ENSMZEG00005022128,si:ch211-251b21.1
ENSMZEG00005022137,NA
ENSMZEG00005022138,NA
ENSMZEG00005022142,gata5
ENSMZEG00005022146,hck
ENSMZEG00005022157,tm9sf4
ENSMZEG00005022163,plagl2
ENSMZEG00005022170,pofut1
ENSMZEG00005022175,klhl7
ENSMZEG00005022179,crata
ENSMZEG00005022185,kif3b
ENSMZEG00005022189,PCMTD2
ENSMZEG00005022199,MYT1
ENSMZEG00005022225,TBC1D22B
ENSMZEG00005022235,snrpg
ENSMZEG00005022238,plpbp
ENSMZEG00005022243,tmed4
ENSMZEG00005022250,ikbkg
ENSMZEG00005022255,sephs3
ENSMZEG00005022260,ap4b1
ENSMZEG00005022264,NA
ENSMZEG00005022267,NA
ENSMZEG00005022270,NA
ENSMZEG00005022273,NA
ENSMZEG00005022279,NA
ENSMZEG00005022284,NA
ENSMZEG00005022289,pelp1
ENSMZEG00005022301,alox12
ENSMZEG00005022305,rnaseka
ENSMZEG00005022307,zgc:92664
ENSMZEG00005022315,si:dkey-6n21.13
ENSMZEG00005022317,ache
ENSMZEG00005022324,NA
ENSMZEG00005022333,taf6l
ENSMZEG00005022335,cth1
ENSMZEG00005022337,mta2
ENSMZEG00005022341,eml3
ENSMZEG00005022346,ecsit
ENSMZEG00005022348,zfta
ENSMZEG00005022352,MMP19
ENSMZEG00005022356,NA
ENSMZEG00005022364,timeless
ENSMZEG00005022372,prph
ENSMZEG00005022375,pmela
ENSMZEG00005022380,cdk2
ENSMZEG00005022383,olfml3b
ENSMZEG00005022391,avil
ENSMZEG00005022833,gdf11
ENSMZEG00005022835,NA
ENSMZEG00005022837,inavab
ENSMZEG00005022839,adipor1a
ENSMZEG00005022841,rabif
ENSMZEG00005022848,kdm5ba
ENSMZEG00005022855,nelfcd
ENSMZEG00005022861,ctsz
ENSMZEG00005022867,CTSZ
ENSMZEG00005022875,slc11a2
ENSMZEG00005022887,npepl1
ENSMZEG00005022896,ANKRD52
ENSMZEG00005022909,NA
ENSMZEG00005022911,cnpy2
ENSMZEG00005022913,EEF1AKMT3
ENSMZEG00005022915,stx16
ENSMZEG00005022919,dgkab
ENSMZEG00005022921,NR4A1
ENSMZEG00005022922,NA
ENSMZEG00005022923,nab2
ENSMZEG00005022927,dnajc14
ENSMZEG00005022931,si:ch211-160o17.2
ENSMZEG00005022934,NA
ENSMZEG00005022937,NA
ENSMZEG00005022942,sys1
ENSMZEG00005000094,NA
ENSMZEG00005000138,NA
ENSMZEG00005000147,NA
ENSMZEG00005000175,arfgap1
ENSMZEG00005000233,NA
ENSMZEG00005000266,mfsd6a
ENSMZEG00005000293,nab1a
ENSMZEG00005000355,glsa
ENSMZEG00005000441,stat1a
ENSMZEG00005000555,mstna
ENSMZEG00005000568,NA
ENSMZEG00005000600,shroom2b
ENSMZEG00005000615,NA
ENSMZEG00005000634,sumo1
ENSMZEG00005000660,map3k2
ENSMZEG00005000728,cyp27a2
ENSMZEG00005000740,tmem198b
ENSMZEG00005000765,desmb
ENSMZEG00005000800,dnpep
ENSMZEG00005000866,ptprnb
ENSMZEG00005000925,NA
ENSMZEG00005000959,LECT2
ENSMZEG00005000972,bin1b
ENSMZEG00005001001,NA
ENSMZEG00005001027,nhej1
ENSMZEG00005001035,NA
ENSMZEG00005001049,NA
ENSMZEG00005001073,NA
ENSMZEG00005001099,NA
ENSMZEG00005001103,NA
ENSMZEG00005001131,NA
ENSMZEG00005002674,NA
ENSMZEG00005002821,NA
ENSMZEG00005002866,NA
ENSMZEG00005002883,golga7
ENSMZEG00005003033,NA
ENSMZEG00005003045,NA
ENSMZEG00005003063,NA
ENSMZEG00005003071,NA
ENSMZEG00005003080,NA
ENSMZEG00005003092,NA
ENSMZEG00005003120,NA
ENSMZEG00005003140,NA
ENSMZEG00005003153,NA
ENSMZEG00005003166,NA
ENSMZEG00005003198,NA
ENSMZEG00005004863,NA
ENSMZEG00005010600,NA
ENSMZEG00005010655,NA
ENSMZEG00005010676,AVPR1A
ENSMZEG00005011069,NA
ENSMZEG00005011085,NA
ENSMZEG00005011096,NA
ENSMZEG00005011112,bmt2
ENSMZEG00005011124,tmem168b
ENSMZEG00005011136,ptdss2
ENSMZEG00005011170,NA
ENSMZEG00005011177,NA
ENSMZEG00005011192,ifitm5
ENSMZEG00005011197,NA
ENSMZEG00005011207,NA
ENSMZEG00005011219,NA
ENSMZEG00005011226,NA
ENSMZEG00005011233,NA
ENSMZEG00005011239,NA
ENSMZEG00005011245,NA
ENSMZEG00005011250,NA
ENSMZEG00005011261,NA
ENSMZEG00005011277,NA
ENSMZEG00005011292,NA
ENSMZEG00005011300,NA
ENSMZEG00005011310,cat
ENSMZEG00005011346,NA
ENSMZEG00005011377,abca4a
ENSMZEG00005011434,NA
ENSMZEG00005011480,prkdc
ENSMZEG00005011575,garem
ENSMZEG00005011596,ncf2
ENSMZEG00005011623,dph2
ENSMZEG00005011645,mcur1
ENSMZEG00005011659,rgs9bp
ENSMZEG00005011672,zgc:56231
ENSMZEG00005011723,pomp
ENSMZEG00005011742,C11orf65
ENSMZEG00005011753,RAMP3
ENSMZEG00005011789,smyhc1
ENSMZEG00005011848,NA
ENSMZEG00005011861,NA
ENSMZEG00005011874,ngdn
ENSMZEG00005011904,pabpn1
ENSMZEG00005011917,thtpa
ENSMZEG00005011945,dcaf11
ENSMZEG00005011977,NA
ENSMZEG00005011982,psme1
ENSMZEG00005011991,pck2
ENSMZEG00005012002,krt8
ENSMZEG00005012015,krt18a.1
ENSMZEG00005012034,krt18a.2
ENSMZEG00005012056,NA
ENSMZEG00005012140,NA
ENSMZEG00005012144,tmem106c
ENSMZEG00005012155,NA
ENSMZEG00005012167,sars1
ENSMZEG00005012220,si:ch211-207e14.4
ENSMZEG00005012248,fam50a
ENSMZEG00005012276,cav4b
ENSMZEG00005012290,arhgap4b
ENSMZEG00005012332,zgc:103759
ENSMZEG00005012347,gss
ENSMZEG00005012362,mrpl49
ENSMZEG00005012371,pim1
ENSMZEG00005012385,si:dkey-8e10.3
ENSMZEG00005012430,ror1
ENSMZEG00005012486,pgm1
ENSMZEG00005012504,efcab7
ENSMZEG00005012524,alg6
ENSMZEG00005012536,foxd3
